date,gnh
2020-01-01,7.792715
2020-01-02,6.844765
2020-01-03,6.698515
2020-01-04,6.565365
2020-01-05,6.654455
2020-01-06,6.775265
2020-01-07,7.085775
2020-01-08,7.124735
2020-01-09,7.018025
2020-01-10,7.164905
2020-01-11,7.373915
2020-01-12,7.142685
2020-01-13,7.063585
2020-01-14,7.076435
2020-01-15,7.136735
2020-01-16,7.230455
2020-01-17,7.376715
2020-01-18,7.532645
2020-01-19,7.232695
2020-01-20,7.068835
2020-01-21,7.223445
2020-01-22,7.204935
2020-01-23,6.943725
2020-01-24,7.227525
2020-01-25,7.522185
2020-01-26,7.830035
2020-01-27,6.441965
2020-01-28,7.113155
2020-01-29,7.140755
2020-01-30,7.270345
2020-01-31,7.118525
2020-02-01,7.272325
2020-02-02,7.078385
2020-02-03,7.045625
2020-02-04,7.266105
2020-02-05,7.357735
2020-02-06,7.400045
2020-02-07,7.421225
2020-02-08,7.486245
2020-02-09,7.215295
2020-02-10,7.314475
2020-02-11,7.505775
2020-02-12,7.496695
2020-02-13,7.561625
2020-02-14,7.823515
2020-02-15,7.676215
2020-02-16,7.502665
2020-02-17,7.274055
2020-02-18,7.346595
2020-02-19,7.245185
2020-02-20,7.202955
2020-02-21,7.422615
2020-02-22,7.662465
2020-02-23,7.377095
2020-02-24,7.341035
2020-02-25,7.210915
2020-02-26,7.234185
2020-02-27,7.353725
2020-02-28,7.549125
2020-02-29,7.662775
2020-03-01,7.38
2020-03-02,7.162655
2020-03-03,7.077655
2020-03-04,6.894795
2020-03-05,6.990075
2020-03-06,7.435485
2020-03-07,7.326475
2020-03-08,7.579405
2020-03-09,7.162145
2020-03-10,6.892085
2020-03-11,7.037775
2020-03-12,6.898265
2020-03-13,6.523385
2020-03-14,7.007585
2020-03-15,6.889465
2020-03-16,6.461865
2020-03-17,6.501895
2020-03-18,6.628795

